categorie,details,adresse,chambres,superficie,prix,image_lien
Appartements meublés,Appartement meublée à louer,"Ngor, Dakar",2 chambre,,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d5594133e858c08da95d9eea0bd8920/-/horizon-files-prod/ed/picture/q2jk725k/c9c724e98d9c4edf000758adae065d693f7f18e6.jpg
Appartements meublés,Bel appartement Yoff océan,"Yoff, Dakar",2 chambre,60 m²,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc47628f72329a72d08c9a30b6d9548b/-/horizon-files-prod/ed/picture/q2957zv/87a00fe220378e4731bc4f665d1b658b11442287.jpg
Appartements meublés,APPARTEMENT A LOUER F4 MARISTE RESIDENCE AXA,"Hann maristes, Dakar",3 chambre,200 m²,700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49093b4b0224551e2eea97dfe6fa0857/-/horizon-files-prod/ed/picture/qrz88gnx/ad140a8cd86433bd4684a8e3955358dd4b42274b.jpg
Appartements meublés,Magnifique F2 meublés aux almadies,"Almadies, Dakar",1 chambre,100 m²,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/997409cdf16f8af42554117fffd2abf2/-/horizon-files-prod/ed/picture/qngd5zmm/f5fc37db6c497d5b0e98af0f8c2a7bfd97fa7299.jpg
Appartements meublés,Beau studio meublé à louer à Liberté 6,"Liberte 6, Dakar",1 chambre,,22 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fbf93d69c0dad7c49729d43df24fd0a5/-/horizon-files-prod/ed/picture/qgqw607q/edb6a77615a55bc90d48765909b7c695ac2bb2e0.jpg
Appartements meublés,APPARTEMENTS MEUBLÉS,"Amitié, Dakar",,,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3dbc06ee9d8275fb4ff485f1ccf35574/-/horizon-files-prod/ed/picture/qj4j0v4e/4287c32584813bfc4fa1ecd95c2eff540a5586b7.jpg
Appartements meublés,Appartement à louer à Sacré Coeur,"Mermoz, Dakar",1 chambre,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e6aa3237c9d91f54f76352f43945f4c0/-/horizon-files-prod/ed/picture/migrated/qernjwx/86c2c0738d3749cd02e8f4f8cac3ed926e48d069.jpg
Appartements meublés,Magnifique Appartement Meublé dans une résidence très calme,"Hann maristes, Dakar",1 chambre,100 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4fe0c42015c289727284afe31bc6cb35/-/horizon-files-prod/ed/picture/qenve77v/6a24eb1e81767cd93549624fdb537b1d10a5d018.jpg
Appartements meublés,Studios meublés à louer à Sacre Coeur 3,"Mermoz, Dakar",,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c773a8dc3d3b4f32b5d81cf0ff0730d3/-/horizon-files-prod/ed/picture/migrated/qp00rn0/31cb47adc5241086e6aa5a73134d94084e0666d6.jpg
Appartements meublés,Studio meublé à la foire,"Sud foire, Dakar",,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69b7916e24c8433fcc9f61f70b2ed9ce/-/horizon-files-prod/ed/picture/migrated/q6qdd4j/106e858d098f524396b2288a3b6faa29ad370843.jpg
Appartements meublés,Chambre meublée au virage,"Yoff, Dakar",10 m²,,12 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05b700bb02ac1bb9c352c429ce2bb8ee/-/horizon-files-prod/ed/picture/migrated/qrn6vrg/aec6e7fbf0bddca6270ff3c9b42402d9ccd10dc7.jpg
Appartements meublés,Chambre meublée,"Avenue Bourguiba, Dakar",1 chambre,20 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7ab666d52a9121295626002d6b226cb/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/qpdm76pw/f1588d6fd4edb3c062e3a9a490511e6cc2d0f837.jpg
Appartements meublés,Studio meublé au point E,"Point-e, Dakar",1 chambre,100 m²,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ff9b9fc230485763a1f01cdeb308665/-/horizon-files-prod/ed/picture/qxj6p6k0/184e768e23e83de69a5d925428830ad2ec808459.jpg
